symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
BBT,CVBF,0.8163,Financial Services,Asset Management,Banks - Regional,False,2.31,2.56,1.11,749
BANF,STBA,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,3.53,1.52,2.32,749
CBSH,SSB,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,7.27,9.42,1.3,749
FHB,FNB,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,3.31,6.14,1.85,749
IBTX,PNFP,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,2.1,7.34,3.5,479
HFWA,WSBC,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,1.08,2.98,2.77,749
ABCB,TRST,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,5.08,1.02,4.96,749
CHCO,PEBO,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,1.73,1.05,1.64,749
SASR,TCBK,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,1.52,1.54,1.01,538
ABCB,RF,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,5.08,23.71,4.66,749
BKU,CVBF,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,3.39,2.56,1.33,749
CADE,FBK,0.8162,Financial Services,Banks - Regional,Banks - Regional,True,8.06,2.97,2.71,749
