symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
IMG.TO,2012-10-03,downgrade,2,small,single,downgrade,0.031451,0.014877,0.016574,-0.003209,-0.005579,0.00237,-0.060334,-0.007438,-0.052895,-0.305574,0.019991,-0.325565
ENB-PFA.TO,2012-10-03,upgrade,2,small,single,upgrade_single,0.017737,0.014877,0.00286,0.001918,-0.005579,0.007496,0.013423,-0.007438,0.020861,0.092042,0.019991,0.072051
ENB.TO,2012-10-03,upgrade,2,small,single,upgrade_single,0.01749,0.014877,0.002613,0.002058,-0.005579,0.007636,0.013889,-0.007438,0.021327,0.099794,0.019991,0.079804
ENB.TO,2012-10-04,upgrade,2,small,single,upgrade_single,0.005561,-0.001832,0.007394,-0.022245,-0.015117,-0.007128,0.000506,-0.016491,0.016997,0.087462,0.004581,0.082881
IMG.TO,2012-10-04,downgrade,2,small,single,downgrade,0.003734,-0.001832,0.005566,-0.029869,-0.015117,-0.014752,-0.052894,-0.016491,-0.036402,-0.329265,0.004581,-0.333846
ELD.TO,2012-10-04,downgrade,2,small,single,downgrade,-0.022249,-0.001832,-0.020417,-0.067152,-0.015117,-0.052035,-0.028857,-0.016491,-0.012365,-0.17651,0.004581,-0.181091
0ABX.L,2012-10-09,downgrade,2,small,single,downgrade,-0.00476,-0.008804,0.004044,-0.009838,0.00278,-0.012618,-0.088543,-0.026877,-0.061667,-0.143447,0.028267,-0.171713
K.TO,2012-10-09,downgrade,2,small,single,downgrade,0.006601,-0.008804,0.015405,0.0,0.00278,-0.00278,0.013201,-0.026877,0.040078,-0.085809,0.028267,-0.114075
ABX.TO,2012-10-10,downgrade,2,small,single,downgrade,-0.009398,0.005143,-0.01454,-0.006961,0.02431,-0.031272,-0.091542,-0.017298,-0.074244,-0.138531,0.040206,-0.178737
SLF.TO,2012-10-10,downgrade,2,small,single,downgrade,0.002915,0.005143,-0.002227,0.03863,0.02431,0.014319,0.138484,-0.017298,0.155782,0.206997,0.040206,0.166791
